顧客企業名,最終商談日,商談ステージ,受注確度,受注予定額,提案製品,商談メモ,担当営業,競合情報
山田製作所,2026-02-10,提案中,65%,2800万円,"Sorani,EdgeGuard",生産技術部の田中部長と面談。設備老朽化による突発停止が月2〜3回発生しており、異常検知による予防保全に強い関心。IoTセンサーの設置コストについて質問あり。次回はデモ機を持参して現場確認を予定。,大野 翔太,なし
中部鉄鋼工業,2026-01-28,PoC,75%,5500万円,"DigiMA,Sorani,EdgeGuard",製造部の佐藤工場長と約2時間の打ち合わせ。昨年10月に800トンプレスが4日停止し損失4500万円の実績あり。3製品のセット導入を前向きに検討中。CTOを交えた正式提案を依頼された。PoC費用の分担について調整中。,大野 翔太,なし
(株)北九州特殊鋼,2025-12-05,提案中,80%,3200万円,"EdgeGuard,NTX-OCR",品質管理部の橋本部長より引き合い。鋼材の表面欠陥検知と検査記録デジタル化を同時に実現したい意向。競合他社も見ているが当社提案に好感触。6月末の本番稼働を目標に社内決裁を進めているとのこと。,山田 花子,他社1社選定中
東洋精工(株),2026-02-20,提案中,55%,2200万円,"FactoryBrain,NTX-OCR",情報システム部の鈴木課長と面談。SAP導入済みでERPとの連携可否が焦点。帳票デジタル化の工数削減効果を試算して提示済み。決裁者（副社長）への説明機会を打診中。競合にキーエンスのソリューションも俎上に。,鈴木 一郎,キーエンス
三河ゴム製造株式会社,2026-03-01,PoC,85%,1800万円,FactoryBrain,生産管理部の山本部長と面談。Excel管理から脱却したく即決の意欲あり。月次在庫差異の原因分析機能を特に評価。来月中にPoC契約の締結を目指している。決裁権は山本部長にあり。,大野 翔太,なし
東日本重工業,2025-11-15,契約交渉,90%,12000万円,"Sorani,DigiMA,EdgeGuard,FactoryBrain",製造技術部の福田主幹と複数回の打ち合わせ実施。スマートファクトリー化を中期計画に盛り込み、4製品の統合導入を検討。年度内に基本計画策定の意向。役員クラスへの提案機会を得た。予算規模1億円超の大型案件。,大野 翔太,SAPコンサル
株式会社東西精工,2026-01-10,初回,20%,500万円,EdgeGuard,展示会後の初回訪問。設備保全への関心はあるが予算権限は工場長のみ。担当者レベルでは情報収集段階。次回は工場長同席での打ち合わせを提案中。,山田 花子,なし
南北工業株式会社,2025-10-22,提案中,40%,1200万円,Sorani,IoT化に興味はあるがIT部門のリソース不足が課題。導入後のサポート体制について慎重に検討中。競合に国内大手SIerも入っており、当社は価格面でのアドバンテージを訴求中。,鈴木 一郎,国内大手SIer
中央電機工業株式会社,2026-02-28,PoC,60%,2000万円,SmartVision,遠隔保守支援のニーズが高く、スマートグラスのPoC実施を進めている。試験導入の結果次第で全工場展開を検討。技術的な検証フェーズ中で導入判断は3ヶ月後の予定。,山田 花子,マイクロソフトTeams連携製品
日本機械部品株式会社,2025-09-30,失注,0%,0円,DigiMA,デジタルツイン提案を行ったが、既存ベンダーとの長期契約を理由に失注。次期更改時（2028年）に再アプローチを検討。担当者は当社製品に好感触だったため関係継続が重要。,鈴木 一郎,既存SIer（長期契約）
